date,merchant,amount,category,chase_description,notes
2025-07-18,,26.53,Meals,TST* DOS TOROS - CARMINE NEW YORK NY,"On Chase, not claimed"
2025-03-14,Amazon,26.5,Equipment,AMAZON MKTPL*UQ59L4GD3 Amzn.com/bill WA,"On Chase, not claimed"
2025-04-21,DoorDash,26.5,Meals,DD *DOORDASH THEHALALG 855-431-0459 CA,"On Chase, not claimed"
2025-07-31,HAMBURGER,26.33,Meals,TST*HAMBURGER AMERICA New York NY,"On Chase, not claimed"
2025-10-19,HAMBURGER,26.33,Meals,TST*HAMBURGER AMERICA New York NY,"On Chase, not claimed"
2025-04-03,DoorDash,25.98,Meals,DD *DOORDASH HANDYNAST 855-431-0459 CA,"On Chase, not claimed"
2025-07-20,BOOK,25.77,Meals,TST*BOOK CLUB BAR New York NY,"On Chase, not claimed"
2025-02-07,DoorDash,25.76,Meals,DD *DOORDASH SOOTHRTHA 855-431-0459 CA,"On Chase, not claimed"
2025-02-20,DoorDash,25.76,Meals,DD *DOORDASH SOOTHRTHA 855-431-0459 CA,"On Chase, not claimed"
2025-03-03,DoorDash,25.76,Meals,DD *DOORDASH SOOTHRTHA 855-431-0459 CA,"On Chase, not claimed"
2025-03-15,DoorDash,25.76,Meals,DD *DOORDASH SOOTHRTHA 855-431-0459 CA,"On Chase, not claimed"
2025-03-19,DoorDash,25.76,Meals,DD *DOORDASH SOOTHRTHA 855-431-0459 CA,"On Chase, not claimed"
2025-04-16,DoorDash,25.76,Meals,DD *DOORDASH SOOTHRTHA 855-431-0459 CA,"On Chase, not claimed"
2025-04-23,DoorDash,25.76,Meals,DD *DOORDASH SOOTHRTHA 855-431-0459 CA,"On Chase, not claimed"
2025-06-15,DoorDash,25.76,Meals,DD *DOORDASH SOOTHRTHA 855-431-0459 CA,"On Chase, not claimed"
2025-06-26,DoorDash,25.76,Meals,DD *DOORDASH SOOTHRTHA 855-431-0459 CA,"On Chase, not claimed"
2025-07-12,DoorDash,25.76,Meals,DD *DOORDASH SOOTHRTHA 855-431-0459 CA,"On Chase, not claimed"
2025-07-17,DoorDash,25.76,Meals,DD *DOORDASH SOOTHRTHA 855-431-0459 CA,"On Chase, not claimed"
2025-07-31,DoorDash,25.76,Meals,DD *DOORDASH SANMARZAN 855-431-0459 CA,"On Chase, not claimed"
2025-08-19,Uber,25.55,Travel,UBER *TRIP HELP.UBER.COM CA,"On Chase, not claimed"
2025-06-30,GOTHAM,25.41,Meals,TST*GOTHAM BURGER NYC New York NY,"On Chase, not claimed"
2025-10-13,Lyft,25.31,Travel,CITIBIK*11 RIDES HELP.LYFT.COM CA,"On Chase, not claimed"
2025-08-08,Lyft,25.26,Travel,LYFT *2 RIDES 08-06 HELP.LYFT.COM CA,"On Chase, not claimed"
2025-03-02,DoorDash,25.17,Meals,DD *DOORDASH WEGMANS 855-431-0459 CA,"On Chase, not claimed"
